Chủ đề	câu 1	câu 2	điểm
Tin Tức	dự_án dankia resort đóng_băng nhưng giờ_đây trên đường_vào thành_phố_đà_lạt của mơ_ước ấy người_ta thấy những hàng_quán lố_nhố nhếch_nhác được_dựng_lên những xe_du_lịch mang biển số tp. hcm đồng_nai vũng_tàu tây_nam bộ đổ đến dày_đặc	sáu năm trôi_đi vắng lạnh kể từ ngày dự_án dankia resort được_phê_duyệt lâm_đồng dường_như người_dân lơi dần để_ý_đến nó báo_chí cũng không còn say_sưa nhắc đến	0
Tin Tức	và mới_đây thôi trong một cuộc_họp tại phòng_họp trung_tâm của ubnd tỉnh_lâm_đồng tân bí_thư của lâm_đồng nguyễn_văn đẳng nói rằng singapore vẫn tiếp_tục đeo_đuổi dankia resort nhất_là khi họ nghe_tin đường_cao_tốc đà_lạt dầu_giây sắp mở và phi_trường liên_khương nay đang lên_đời thành phi trường quốc_tế	và mới gần_đây trong một cuộc_họp tân bí_thư của lâm_đồng nguyễn_văn_đẳng chia_sẻ rằng singapore vẫn tiếp_tục đeo_đuổi dankia resort nhất_là khi họ nghe_tin đường_cao_tốc đà_lạt dầu_giây sắp mở và phi_trường liên_khương nay đang lên_đời thành phi trường quốc_tế	4
Tin Tức	trên bãi_đất bồi mà người_địa_phương gọi_là cồn giá nổi_lên như một ốc_đảo hoang_vu giữa bốn bề trời nước của đầm_cầu_hai một đầm lớn phía_nam thừa_thiên huế đã ra_đời một trang_trại nuôi tôm với hệ_thống bờ_đập kênh mương ao hồ công_phu	trên bãi_đất bồi mà người_địa_phương gọi_là cồn giá nổi_lên như một ốc_đảo hoang_vu giữa bốn bề trời nước của đầm cầu hai	2
Đời Sống	sau những lần đi thu_gom tôm đất do ngư_dân đánh_bắt dưới đầm để bán_cho nhà_máy_chế_biến hải_sản_xuất_khẩu anh phát_hiện trong đó có lẫn những con tôm_sú	sau những lần đi thu_gom tôm đất do ngư_dân đánh_bắt anh phát_hiện trong đó có lẫn những con tôm_sú	3
Văn Học	trong một cơn cùng_quẫn đỗi đã tưới dầu lên chiếc đò rách_nát rồi chở cả vợ_con_chạy ra giữa đầm toan nổi lửa để chấm_dứt mọi sự khổ_ải	về đi ông đỗi ơi ông đày_ải vợ_con chết mất ngay cả người_làm_công cho anh thấy cảnh đó cũng nản_lòng	0
Tin Tức	phường gà ninh_xá cách thủ_đô hà_nội hơn 30 km đường ngay trung_tâm thị_xã bắc_ninh	phường gà ninh_xá cách_xa thủ_đô hà_nội gần 30 km đường ngay trung_tâm thị_xã bắc_ninh	4
Tin Tức	phần_nhiều họ là những thành_phần có_máu_mặt địa_phương nếu chỉ là người_bình_thường chắc chẳng đủ gan để mở một sới ngay giữa ban_ngày ban mặt	phần_nhiều họ là những thành_phần có_máu_mặt địa_phương nếu chỉ là người_bình_thường chắc suy_nghĩ cũng không mở sới ngay giữa ban_ngày ban mặt	3
Tin Tức	họ mở sới không_phải chỉ là tạo sân_chơi lành_mạnh cho dân mê gà mà cốt để kinh_doanh thu_tiền sới sau mỗi trận_đấu trong đó bao_gồm cả phí an_ninh phí liên_lạc	họ đồng_thời cũng là những tín_đồ của đạo bạc gà	1
Tin Tức	điều đáng_ngạc_nhiên là sự_tồn_tại của các sới gà cờ_bạc thứ thiệt này ngày_một lộ_liễu thậm_chí có sới còn tồn_tại vài năm trời với qui_mô ngày_một lớn	điều đáng_ngạc_nhiên là sự_tồn_tại của các sới gà cờ_bạc thứ thiệt này ngày_một tinh_vi thậm_chí có sới còn tồn_tại vài năm trời với qui_mô ngày_một lớn và ngày_càng mở_rộng	3
Tin Tức	trong hơn 100 thợ_lặn chiếm quá_nửa tổng_số thanh_niên trai_tráng của làng xuân_hòa xã thạch_bằng hà_tĩnh có đến 40 người lặn có bằng	trong hơn gần 100 thợ_lặn chiếm quá_nửa tổng_số thanh_niên trai_tráng của làng xuân_hòa xã thạch_bằng hà_tĩnh có đến_gần 60 người lặn chưa có bằng	2
Đời Sống	họ tự_hào con_trai xuân_hòa_đẻ ra là biết lặn biết bơi	tự_hào hơn khi họ kể_chuyện ông thú_đỉnh sư phụ nghề lặn của làng từng lặn bộ dưới biển cửa sót sâu hàng chục mét để tháo cái chân_vịt của tàu_chiến pháp đem về làm kỷ_niệm hồi năm 1953	1
Đời Sống	nhiệm_vụ quan_trọng_nhất của chú là không để thuyền người khác đi_qua vùng lặn kéo_theo những dây nhựa đang nổi bồng_bềnh trên mặt_biển đang nối_liền với miệng của thợ_lặn để cung_cấp khí thở gỡ các dây khi sóng biển làm_rối vào nhau và đổ nước mát cho các máy trên thuyền đủ sức chạy trong nhiều giờ liền	nhiệm_vụ quan_trọng_nhất của chú là không để thuyền người khác đi_qua vùng lặn kéo_theo những dây nhựa đang nổi bồng_bềnh trên mặt_biển đang nối_liền với miệng của thợ_lặn để cung_cấp khí thở	4
Đời Sống	là một thợ_lặn trẻ biết hết mọi chuyện mưu_sinh dưới biển hải kể dưới đáy_biển thợ_lặn phải dùng một cái_dùi bằng sắt hoặc con_dao nhọn để cạy những con ngao con sò bám rất chắc vào hang đá	nơi không_có bãi đá thợ phải có đôi mắt thật tinh để có_thể phát_hiện những mánh của con hàng	1
Đời Sống	bước_nhảy từ lặn bộ sang lặn máy đã giúp những hội thợ_lặn làng xuân_hòa có_điều_kiện chinh_phục những vùng_biển xa rộng_lớn hơn	từ lặn bộ sang lặn máy đã giúp những hội thợ_lặn làng xuân_hòa có_điều_kiện chinh_phục những vùng_biển xa rộng_lớn_hơn đánh_bắt được nhiều cá hơn	3
Tin Tức	sáng sớm 22 10 2003 những thủy_thủ bị nạn của tàu hoàng_đạt 35 đã được tàu capability liberia đưa về tới nha_trang	tai_ương đã ập_đến với con tàu hoàng_đạt 35 vào lúc gần giờ sáng 21 10 2003 tại vùng_biển trường_sa vn cách vịnh_cam_ranh chừng hơn 100 hải_lý	0
Đời Sống	nguyễn_khắc_trường 27 tuổi thủy_thủ một trong hai trường_hợp bị mất_tích nhưng may_mắn trở_thành người sau_cùng được vớt lên	trường cho_biết tôi là người phải_chịu dưới_nước lâu nhất kinh_hãi lắm ... vừa nói trường vừa lắc_đầu rùng_mình ...	1
Tin Tức	con tàu càng nghiêng rất nhanh khi độ_nghiêng đến lên hơn 20 25 độ tôi biết tình_thế không còn cách nào có_thể cứu được tàu nữa khi_ấy chỉ còn nghĩ_đến cách phải cứu cho được thủy_thủ	con tàu càng nghiêng rất nhanh khi độ_nghiêng đến lên hơn 20 25 độ tôi biết tình_thế không còn cách nào có_thể cứu được tàu nữa khi_ấy chỉ còn nghĩ_đến cách phải cứu cho được thủy_thủ để thoát_khỏi tai_nạn lần này	4
Tin Tức	nguyễn_đình hùng thủy_thủ 22 tuổi cho_biết tôi là người thuộc tốp đầu_tiên bám được vào thang dây của tàu cứu_hộ	vừa bám giữ cho được theo sợi dây người_ta thả_xuống từ trên tàu vừa lượn người để giảm sức va_đập do sóng đánh dập mình vào thành_tàu đồng_thời phải gắng_sức bám cho được vào thang dây	1
Tin Tức	chiều_hôm_qua tại nhà tang_lễ bệnh_viện tỉnh khánh_hòa cùng_với công_ty chủ tàu những người may_mắn thoát_nạn đã tiễn_đưa hai đồng_đội xấu_số của mình anh vũ_ngọc_bình và anh đào_xuân_nhung sinh năm 1944 sĩ_quan boong_tàu về quê nhà	chiều này hôm đấy tại nhà tang_lễ bệnh_viện tỉnh khánh_hòa cùng_với công_ty chủ tàu những người may_mắn thoát_nạn đã tiễn_đưa hai đồng_đội xấu_số của mình về quê nhà	3
Tin Tức	vượt_qua những con_đường do lũ_lụt tàn_phá với những ổ_trâu ổ_voi lầy_lội có nơi phải nhờ đến xe_ủi xe xúc mở_đường phía_trước và những ngầm đá vùng_cao gập_ghềnh liên_tiếp trong hai ngày 22 và 23 10 đoàn công_tác xã_hội báo_tuổi_trẻ đã mang những món_quà sẻ_chia của bạn_đọc đến tận những vùng lũ bình_minh bình_chương và nam_trà_my những vùng_đất khó nghèo của quảng_ngãi quảng_nam	vượt_qua những con_đường do lũ_lụt tàn_phá với những ổ_trâu ổ_voi lầy_lội có nơi phải nhờ đến xe_ủi xe xúc mở_đường phía_trước và những ngầm đá vùng_cao gập_ghềnh liên_tiếp trong hai ngày 22 và 23 10 đoàn công_tác xã_hội báo	4
Đời Sống	tất_cả dựng_lại những mái_nhà xiêu_vẹo trên gương_mặt mỗi người_in sâu những lo_âu về cái ăn trước_mắt cũng như sự mưu_sinh lâu_dài sau mùa lũ	bà võ_thị_lĩnh thôn tân_phước bình_minh thở_dài nói căn nhà tranh tui tích_góp nhiều năm trời mới dựng được đêm 17 rạng ngày 18 nước_lũ dâng_cao hơn cả thước rồi gió ập_đến cuốn hết cả mấy cái_nồi chum gạo cũng trôi tuột	1
Tin Tức	mỗi phần quà trị_giá 100000 đồng gồm gạo mì đường ... 15g đoàn công_tác xã_hội của báo_tuổi_trẻ đã về với bà_con xã bình_chương	trước_đó ngày 22 10 đoàn đã đến hai xã bị lũ nặng_nề nhất của tỉnh_quảng_ngãi là bình_minh và bình_chương huyện_bình_sơn và trao 420 suất quà cho bà_con nghèo bị trôi nhà_cửa mất_mát tài_sản	0
Đời Sống	không_biết đến bao_giờ bà_con vùng_cao huyện nam_trà_my mới ổn_định được cuộc_sống sau thiệt_hại lớn của cơn lũ này và đối_phó làm_sao với những con lũ sắp đến	không_biết đến bao_giờ bà_con vùng_cao huyện nam_trà_my mới ổn_định được cuộc_sống sau những mất_mát mà cơn lũ vừa_qua ập đến	3
Đời Sống	có bốn đại_lý tiêu_thụ chó hình_thành một chợ chó nằm_trên quốc_lộ 1a thuộc xã điện_phương huyện điện_bàn tỉnh quảng_nam	có_nhiều đại_lý tiêu_thụ chó hình_thành đây và đây cũng là một trong những vấn_đề người_dân phản_đối_việc tiêu_thụ chó	2
Đời Sống	theo ông phạm_yên người có thâm_niên trên 20 năm đi đổi chó xã điện_minh người_ta không gọi_là đi mua chó mà gọi đổi chó mặc_dù là bán lấy tiền bởi lẽ người_ta nuôi chó là để giữ nhà không_dùng từ mua bán	theo ông phạm_yên người có thâm_niên trên 20 năm đi đổi chó xã điện_minh người_ta không gọi_là đi mua chó mà gọi đổi chó	4
Đời Sống	bữa_ăn sang_trọng cuối_cùng mà ông_chủ phạm_tuấn dành_cho chú vàng yêu_quí gồm cơm cá thịt_heo ... để tiễn người bạn tri_âm 10 năm chung sống	bữa_ăn chưa_kết_thúc chiếc kẹp sắt dài từ bàn_tay của bùi nhanh như chớp thò_ra kẹp cổ chú vàng bỏ_vào rọ sắt kết_thúc một thương_vụ	1
Đời Sống	phiên chợ bắt_đầu_từ 12 18 trong ngày thời_điểm sôi_động nhất vào_khoảng 16 17 bởi đây là lúc các lái_buôn tập_trung về chợ sau một ngày đi thu_mua chó	giá chó lên hay xuống là do sự_thống_nhất của bốn người mua tại đây	0
Đời Sống	trong khi_đó có những người lặng_lẽ lội ì_oạp từ miệng cống này sang miệng cống khác vét từng mảng bùn đen lật từng nắp cống cho nước thoát nhanh	trong khi_đó có những người lặng_lẽ lội ì_oạp từ miệng cống này sang miệng cống khác vét từng mảng bùn đen lật từng nắp cống cho nước thoát nhanh để tránh cho việc ngập_lụt các con đường	4
Đời Sống	trong thời_gian mà trên lịch của những người_làm ngành thoát nước ghi đậm đỉnh triều ngày nào cũng có mấy người_dân vào ngay văn_phòng xí_nghiệp thoát nước số bình_thạnh để mắng vốn	trong thời_gian trên lịch của những người_làm ngành thoát nước ghi đậm đỉnh triều hôm_nào cũng có_dân vào phản_án với xí_nghiệp	2
Đời Sống	người công_nhân cúi_xuống cầm cái ky vét hầm chui hẳn vào lòng ống_cống để nạo chuyển lên trên từng xẻng bùn người trên kéo_lên đổ vào thùng	lưng mỏi chân tê anh dưới leo_lên anh trên leo xuống thay chỗ	0
Đời Sống	chợt nhớ lúc sáng khi nghe một anh công_nhân vừa chui dưới hầm ga lên phân_trần với chủ_tịch công_đoàn hồi này sức_khỏe kém quá_nhiều lúc xuống hầm thở không nổi tôi định xin chuyển từ khâu chui sang vét mà_lại tiếc mất quyền_lợi	khi nghe một anh công_nhân vừa chui dưới hầm ga lên phân_trần với chủ_tịch công_đoàn hồi này sức_khỏe kém quá_nhiều lúc xuống hầm thở không nổi tôi định xin chuyển từ khâu chui sang vét mà_lại tiếc mất quyền_lợi	3
Tin Tức	các anh cn xí_nghiệp hai đang thi_công công_trình thay mới và sửa_chữa cống vòm đường pasteur thì bảo ngành thoát nước ngày_càng tiến_bộ hiện_đại hơn thì cho con_cái chúng_tôi theo nghề cũng tốt chứ	các anh cn xí_nghiệp hai đang thi_công công_trình thay mới và sửa_chữa cống vòm đường pasteur thì bảo ngành thoát nước ngày_càng tiến_bộ hiện_đại hơn thì cho con_cái chúng_tôi theo nghề cũng tốt chứ	4
Tin Tức	tôi gặp ông lê_văn on tám on ngụ ấp tiên_long xã tiên_long huyện_châu_thành bến_tre là người bỏ nhiều công của cất gần 600 căn nhà_tình_thương cho người nghèo	tôi gặp ông lê_văn on là người bỏ nhiều công của cất gần 600 căn nhà_tình_thương cho người nghèo	3
Tin Tức	từng sống trong căn nhà lá cột gòn và lao_động kiếm sống ông tám on rất thấu_hiểu cảnh thiếu khó của người_nghèo neo_đơn không nơi nương_tựa	năm 31 tuổi khi gia_đình bắt_đầu có_của_ăn_của_để ông đã nghĩ_đến việc giúp những gia_đình nghèo sống trong cảnh nhà dột cột xiêu bằng cách cất cho họ căn nhà che nắng che mưa	1
Tin Tức	sau đó được những người trong làng đi làm_ăn buôn_bán trong và ngoài tỉnh như tiền_giang đồng_tháp trà_vinh ... giới_thiệu ông tám on tìm_hiểu và sẵn_lòng giúp nhà cho những người_nghèo thật_sự biết lo làm_ăn	sau đó được những người trong làng đi làm_ăn buôn_bán trong và ngoài tỉnh như tiền_giang đồng_tháp trà_vinh ... giới_thiệu ông tám on tìm_hiểu và sẵn_lòng giúp nhà cho những người_nghèo thật_sự biết lo làm_ăn càng_ngày_càng giúp_đỡ được nhiều người khó_khăn hơn	4
Tin Tức	phước mù là một người hiếu_thảo cặm_cụi làm_ăn vừa bán vé_số nuôi bà ngoại vừa để_dành tiền mua được nền nhà	ông giúp phước mù tận_tình không chỉ giúp nhà mà còn mua thêm ít gỗ để đóng cho cái_giường cái bàn cái ghế	1
Tin Tức	người_nghèo khi nhận nhà đều cảm_ơn ông khuyên họ hãy cố_gắng làm_ăn chăm_lo gia_đình hạnh_phúc là đáp ơn tôi rồi	nhà ông cho người_nghèo cũng chẳng phải sang_trọng gì thường là nhà kê bằng thân_cây dừa lão xẻ ra làm sườn	1
Tin Tức	nghe_đâu có người_nghèo cần giúp làm nhà công_trình công_cộng thiếu kinh_phí thiếu công thợ dù xa_xôi tận an_hiệp thành_triệu quới_thành huyện_châu_thành thạnh_ngãi huyện_mỏ_cày hay mỹ_thạnh_an thị_xã bến_tre chợ_gạo tiền_giang các ông vẫn khăn_gói lên_đường làm_giúp mà không tính_toán điều gì	ông tám on và bạn_bè không chỉ lo việc_thiện việc nghĩa làm cầu sửa đường cất nhà tình_thương trong xã	0
Tin Tức	mỗi_ngày hàng ngàn con chim trời bỗng_chốc bị hóa kiếp trở_thành những con chim quay béo ngậy trên bàn nhậu thành món ăn rất dân_dã trong mỗi bữa_ăn của người_dân đảo cát_bà cát_hải hải_phòng	hàng ngàn con chim trời bỗng_chốc bị hóa kiếp trở_thành những con chim quay béo ngậy trên bàn nhậu thành món ăn rất dân_dã trong mỗi bữa_ăn của người dân đảo cát_bà	4
Đời Sống	như thấy thiếu_điều gì ông lại chạy vào bụi_cây lấy_ra trên chục ống_bơ sữa bò bên_trong ống_bơ đó là một hòn_đá được buộc lủng_lẳng bằng sợi dây chỉ	như thấy điều gì lạ ông lại chạy vào bụi_cây lấy_ra trên chục ống_bơ sữa bò bên_trong ống_bơ đó là một hòn_đá được buộc lủng_lẳng bằng sợi dây chỉ	4
Đời Sống	không_biết có phải chim mỏi về rừng tìm chốn ngủ hay vì những điều_kiện lý_tưởng của cát_bà mà cứ dịp cuối năm mỗi_ngày có hàng ngàn hàng vạn con chim cuốc le_le gà_đồng kéo nhau về đây tìm chốn ngủ	không_biết có phải chim mỏi về rừng tìm chốn ngủ hay vì những điều_kiện lý_tưởng của cát_bà mà cứ dịp cuối năm mỗi_ngày có hàng ngàn hàng vạn con chim cuốc le_le gà_đồng kéo nhau về đây tìm chốn ngủ	4
Sức Khỏe	nếu bạn thường_xuyên tắt báo_thức và cảm_thấy ủ_rũ vào buổi_sáng hãy tìm cách thay_đổi để có một buổi_sáng tràn_đầy năng_lượng bắt_đầu bằng việc tìm_ra những lý_do khác_nhau khiến bạn không_thể_thức dậy vào buổi_sáng và phải làm_gì với chúng để tỉnh_táo sau khi ngủ dậy sớm	nếu bạn thường_xuyên tập_thể_dục buổi_sáng ăn_uống điều_độ thay_đổi chế_độ_ăn_uống giấc_ngủ để cải_thiện sức_khỏe	1
Sức Khỏe	suy_nghĩ tích_cực không chỉ liên_quan đến việc bỏ_qua những tình_huống khiến bạn cảm_thấy khó_chịu hoặc khó_khăn trong cuộc_sống nó có_nghĩa_là bạn đón_nhận sự_khó_chịu với một thái_độ tích_cực hơn có_nghĩa_là hành_động một_cách lạc_quan ngay cả khi gặp_phải tình_huống có_thể khiến bạn bi_quan	bạn phải bắt_đầu bằng cách quan_sát đoạn độc_thoại_nội_tâm của mình hoặc cách bạn nói_chuyện_với chính_mình bạn có_thể nói_chuyện_với bản_thân một_cách tích_cực hoặc tiêu_cực một_số điều bạn nói_với bản_thân có_vẻ tích_cực trong khi một_số có_thể bị truyền_cảm_xúc tiêu_cực	1
Sức Khỏe	cười nhiều_hơn nói_chung việc có khiếu hài_hước trong cuộc_sống hàng_ngày có_thể cải_thiện_đáng_kể cảm_giác tích_cực khi bạn cười bạn cảm_thấy ít căng_thẳng hơn và khi bạn cảm_thấy ít căng_thẳng hơn bạn có_nhiều khả_năng_nhìn cuộc_sống qua lăng_kính tích_cực hơn	nói_chung việc có khiếu hài_hước trong cuộc_sống hàng_ngày có_thể cải_thiện_đáng_kể cảm_giác tích_cực khi bạn cười bạn cảm_thấy ít căng_thẳng hơn và khi bạn cảm_thấy ít căng_thẳng hơn bạn có_nhiều khả_năng_nhìn cuộc_sống qua lăng_kính tích_cực hơn	4
Môi Trường	nguyên_nhân chính gây_ô_nhiễm không_khí đốt nhiên_liệu hóa thạch cũng là tác_nhân chính gây_ra biến_đổi khí_hậu ảnh_hưởng_đến sức_khỏe của người_dân theo nhiều cách khác_nhau từ năm 2030 đến 2050 biến_đổi khí_hậu dự_kiến sẽ gây_ra thêm 250.000 ca tử_vong mỗi năm do suy_dinh_dưỡng sốt_rét tiêu_chảy và stress nhiệt	ô_nhiễm_không_khí là tác_nhân chính gây_ra biến_đổi khí_hậu ảnh_hưởng_đến sức_khỏe của người_dân theo nhiều cách khác_nhau từ năm 2030 đến 2050 biến_đổi khí_hậu dự_kiến sẽ gây_ra thêm 250.000 ca tử_vong mỗi năm do suy_dinh_dưỡng sốt_rét tiêu_chảy và stress nhiệt	4
Sức Khỏe	các bệnh không_lây_nhiễm như bệnh tiểu_đường ung_thư và bệnh_tim_mạch là_nguyên_nhân chính cho hơn 70 tổng_số ca tử_vong trên toàn_thế_giới tương_đương 41 triệu người trong đó bao_gồm 15 triệu người_chết sớm độ tuổi tuổi từ 30 đến 69	hơn 85 số ca tử_vong sớm này là các nước thu_nhập thấp và trung_bình sự_gia_tăng của các bệnh này đã được_thúc_đẩy bởi yếu_tố nguy_cơ chính sử_dụng thuốc_lá không_hoạt_động thể_chất uống nhiều rượu_bia chế_độ_ăn_uống không_lành_mạnh và ô_nhiễm_không_khí các yếu_tố nguy_cơ này cũng làm trầm_trọng thêm các vấn_đề về sức_khỏe tâm_thần có_thể bắt_đầu_từ khi còn nhỏ một_nửa số bệnh_tâm_thần bắt_đầu_từ năm 14 tuổi nhưng hầu_hết các trường_hợp không được phát_hiện và không được điều_trị tự_tử là_nguyên_nhân hàng_đầu thứ_hai gây_tử_vong trong độ tuổi từ 15 đến 19 tuổi	0
Tin Tức	năm 2018 cộng_hòa dân_chủ congo đã_trải_qua đợt dịch ebola riêng_biệt cả đều lan sang các thành_phố với hơn triệu người mắc điều này cho_thấy bối_cảnh dịch_bệnh gây bệnh có nguy_cơ cao như ebola bùng_phát là rất nghiêm_trọng những gì đã xảy_ra trong các vụ dịch nông_thôn trong_quá_khứ không_phải lúc_nào cũng áp_dụng cho các khu_vực đô_thị đông dân hoặc các khu_vực bị ảnh_hưởng bởi xung_đột	cộng_hòa dân_chủ congo đã_trải_qua đợt dịch cả đều lan sang các thành_phố với hơn triệu người mắc điều này cho_thấy bối_cảnh dịch_bệnh gây bệnh có nguy_cơ cao như ebola bùng_phát là rất nghiêm_trọng	3
Sức Khỏe	chăm_sóc sức khỏe ban_đầu có_thể đáp_ứng phần_lớn nhu_cầu sức_khỏe của một người trong_suốt cuộc_đời của họ hệ_thống y_tế với chăm_sóc sức khỏe ban_đầu mạnh_mẽ là cần_thiết để đạt_được bao_phủ chăm_sóc sức_khoẻ toàn dân	chăm_sóc sức khỏe ban_đầu có_thể đáp_ứng phần_lớn nhu_cầu sức_khỏe của một người trong_suốt cuộc_đời của họ hệ_thống y_tế với chăm_sóc sức khỏe ban_đầu mạnh_mẽ là cần_thiết để đạt_được bao_phủ chăm_sóc sức_khoẻ toàn dân giúp_cải_thiện sức_khỏe hơn và phòng_tránh nhiễm biến_chứng có_thể xảy ra	3
Văn Học	truyện_ngắn đôi mắt là truyện_ngắn thành_công nhất của nam_cao sau cách_mạng tháng trong truyện thông_qua việc xây_dựng hình_tượng hai nhà_văn hoàng và độ với hai lối_sống hai sự nhìn_nhận về người_nông_dân về kháng_chiến trái_ngược_nhau nam_cao đã khái_quát lên một vấn_đề có_ý_nghĩa sâu_sắc không chỉ có_ý_nghĩa với tình_hình thực_tế lúc_đó mà còn_có ý_nghĩa trong thời_điểm hiện_tại vấn_đề cách nhìn cuộc_sống	đôi mắt thông_qua nghệ_thuật miêu_tả chi_tiết ngoại_hình cử_chỉ lời_nói của nhân_vật hoàng và độ đã hiện_ra khá sinh_động hoàng với cái_nhìn phiến_diện một_chiều chỉ nhìn_thấy những xấu_xa của người_nông_dân và thấy cuộc_sống chua_chát	1
Tin Tức	không_biết có phải chim mỏi về rừng tìm chốn ngủ hay vì những điều_kiện lý_tưởng của cát_bà mà cứ dịp cuối năm mỗi_ngày có hàng ngàn hàng vạn con chim cuốc le_le gà_đồng ... kéo nhau về đây tìm chốn ngủ	vì chim mỏi về rừng tìm chốn ngủ hoặc vì những điều_kiện lý_tưởng của cát_bà mà cứ dịp cuối năm mỗi_ngày có hàng ngàn hàng vạn con chim cuốc le_le gà_đồng ... kéo nhau về đây tìm chốn ngủ	4
Sức Khỏe	có gì cũng được trừ có_bệnh không_có gì cũng được trừ không_có_tiền thiếu_gì cũng được trừ thiếu sức_khỏe sức_khỏe không_phải là tất_cả nhưng không_có sức_khỏe sẽ chẳng có thứ gì	hạnh_phúc của đời_người không nằm danh_lợi mà xuất_phát_từ sức_khỏe cơ_thể khỏe_mạnh không_quyết_định bởi tiền_bạc mà quyết_định bởi sự_vận_động của mỗi con_người	4
Sức Khỏe	sức_khỏe không_phải là thứ chúng_ta có_thể mua tuy_nhiên nó có_thể_là một tài_khoản tiết_kiệm cực_kỳ giá_trị	sức_khỏe tốt và trí_tuệ minh_mẫn là hai điều hạnh_phúc nhất của cuộc_đời	2
Sức Khỏe	sức_khỏe chính là một trong những tài_sản vô_giá của con_người mà mỗi chúng nên biết trân_trọng và giữ_gìn	tôi tin_rằng món_quà lớn_nhất mà bạn có_thể trao_cho gia_đình mình và thế_giới là chính mình khỏe_khoắn	4
